danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,artist,cluster
0.488,0.941,7,-5.449,1,0.0521,0.00505,1.52e-06,0.297,0.441,90.028,audio_features,77deJ1F62gUiR9tX26lsbc,spotify:track:77deJ1F62gUiR9tX26lsbc,https://api.spotify.com/v1/tracks/77deJ1F62gUiR9tX26lsbc,https://api.spotify.com/v1/audio-analysis/77deJ1F62gUiR9tX26lsbc,258333,4,The New Way,Colorstone,0
0.564,0.95,8,-3.82,1,0.101,0.00911,0.0686,0.589,0.215,161.451,audio_features,3nfj9Fdbl30TvcZE9sU0Vx,spotify:track:3nfj9Fdbl30TvcZE9sU0Vx,https://api.spotify.com/v1/tracks/3nfj9Fdbl30TvcZE9sU0Vx,https://api.spotify.com/v1/audio-analysis/3nfj9Fdbl30TvcZE9sU0Vx,207936,4,Suffer With Me,líue,4
0.785,0.678,1,-6.33,1,0.409,0.0773,0.0,0.123,0.306,96.464,audio_features,42vXO6JbfVag0VkE4XKRek,spotify:track:42vXO6JbfVag0VkE4XKRek,https://api.spotify.com/v1/tracks/42vXO6JbfVag0VkE4XKRek,https://api.spotify.com/v1/audio-analysis/42vXO6JbfVag0VkE4XKRek,350575,4,Cités Dortoires - Feat. 59 Grammes,Alpha 5.20,3
0.523,0.402,0,-8.233,1,0.0305,0.778,0.0,0.432,0.675,70.863,audio_features,0WVTQp3SOCuMr08jh1jweV,spotify:track:0WVTQp3SOCuMr08jh1jweV,https://api.spotify.com/v1/tracks/0WVTQp3SOCuMr08jh1jweV,https://api.spotify.com/v1/audio-analysis/0WVTQp3SOCuMr08jh1jweV,162533,4,Bring It On Home to Me,Sam Cooke,3
0.698,0.285,0,-7.632,1,0.0553,0.927,0.0,0.0883,0.53,135.027,audio_features,7aohwSiTDju51QmC54AUba,spotify:track:7aohwSiTDju51QmC54AUba,https://api.spotify.com/v1/tracks/7aohwSiTDju51QmC54AUba,https://api.spotify.com/v1/audio-analysis/7aohwSiTDju51QmC54AUba,148400,4,You And I,Ingrid Michaelson,3
0.567,0.185,7,-14.247,1,0.039,0.839,0.0,0.166,0.513,104.987,audio_features,6rczVkilAaWXpnmfiaIu9i,spotify:track:6rczVkilAaWXpnmfiaIu9i,https://api.spotify.com/v1/tracks/6rczVkilAaWXpnmfiaIu9i,https://api.spotify.com/v1/audio-analysis/6rczVkilAaWXpnmfiaIu9i,132629,3,The rest of the night,MC Fire,6
0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,audio_features,2Z8WuEywRWYTKe1NybPQEW,spotify:track:2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,214507,4,Ride,Twenty One Pilots,0
0.694,0.314,0,-7.82,1,0.116,0.611,2.07e-06,0.117,0.341,119.905,audio_features,4cRBqWBjuccCowYVHFlXK6,spotify:track:4cRBqWBjuccCowYVHFlXK6,https://api.spotify.com/v1/tracks/4cRBqWBjuccCowYVHFlXK6,https://api.spotify.com/v1/audio-analysis/4cRBqWBjuccCowYVHFlXK6,333947,4,Redemption,Drake,3
0.762,0.849,11,-5.933,0,0.0285,0.394,0.0,0.118,0.966,141.078,audio_features,70OM7zP6vDzcTEuzj318jv,spotify:track:70OM7zP6vDzcTEuzj318jv,https://api.spotify.com/v1/tracks/70OM7zP6vDzcTEuzj318jv,https://api.spotify.com/v1/audio-analysis/70OM7zP6vDzcTEuzj318jv,217373,4,Dame Tus Besos,Camela,4
0.312,0.595,0,-8.919,1,0.0298,0.0484,0.00139,0.103,0.337,150.502,audio_features,2CVV8PtUYYsux8XOzWkCP0,spotify:track:2CVV8PtUYYsux8XOzWkCP0,https://api.spotify.com/v1/tracks/2CVV8PtUYYsux8XOzWkCP0,https://api.spotify.com/v1/audio-analysis/2CVV8PtUYYsux8XOzWkCP0,267693,3,Subterranean Homesick Alien,Radiohead,3
0.547,0.817,6,-9.37,1,0.0397,0.000388,0.824,0.595,0.0386,122.981,audio_features,4AjgGeqU3Ma2HWGJuwqwTz,spotify:track:4AjgGeqU3Ma2HWGJuwqwTz,https://api.spotify.com/v1/tracks/4AjgGeqU3Ma2HWGJuwqwTz,https://api.spotify.com/v1/audio-analysis/4AjgGeqU3Ma2HWGJuwqwTz,387051,4,Dream Of Love,Nox Vahn,6
0.356,0.26,4,-10.577,0,0.0314,0.913,2.1e-06,0.105,0.49,144.184,audio_features,6rHh8urosEFRI67xVa6fzU,spotify:track:6rHh8urosEFRI67xVa6fzU,https://api.spotify.com/v1/tracks/6rHh8urosEFRI67xVa6fzU,https://api.spotify.com/v1/audio-analysis/6rHh8urosEFRI67xVa6fzU,179107,4,The Fool On The Hill - Remastered 2009,The Beatles,2
